station_num,station_name,latitude,longitude
481,신당역 10번 출구,37.56703186,127.0157929
483,남산타운아파트 버스정류장,37.54758453,127.0064392
484,도동삼거리,37.55614853,126.9774246
485,서울역4번출구,37.55677032,126.9731979
486,평창동주민센터 앞,37.60627365,126.9683228
487,신석초교앞 교차로 교통섬,37.54364014,126.9383087
488,푸르메병원,37.58456802,126.8802109
489,구룡근린공원,37.58320236,126.8827667
490,가온문화공원,37.58207703,126.8876648
491,월드컵파크 4단지,37.57597733,126.8880692
492,성산시영아파트 후문,37.57313538,126.9018478
493,홍대입구역 6번출구,37.55657578,126.9288559
494,신수동주민센터,37.54724503,126.9350281
495,염리초등학교 앞,37.54243088,126.9469986
497,합정동주민센터 앞,37.551754,126.9123001
498,연남동주민센터 앞,37.56465149,126.9221268
500,어린이대공원역 3번출구 앞,37.54706955,127.0742722
501,광진구의회 앞,37.53730774,127.0703507
502,뚝섬유원지역 1번출구 앞,37.53186035,127.0671921
505,자양사거리 광진아크로텔 앞,37.53701019,127.0822449
506,금호 어울림 아파트 앞,37.54906082,127.0577927
507,성수아이에스비즈타워 앞,37.54820251,127.0571137
508,성수아카데미타워 앞,37.54516602,127.0575104
509,이마트 버스정류소 옆,37.53965378,127.0525894
510,서울숲 남문 버스정류소 옆,37.54122162,127.0438004
511,서울숲역 4번 출구 옆,37.54458237,127.0446091
512,뚝섬역 1번 출구 옆,37.5485611,127.0450058
513,뚝섬역 5번 출구 정류소 옆,37.54630661,127.0498047
514,성수사거리 버스정류장 앞,37.54257965,127.0633087
515,광양중학교 앞,37.53023529,127.0868301
516,광진메디칼 앞,37.54840469,127.0693665
518,청계천 박물관 앞,37.57152557,127.0353546
519,양지사거리,37.56699371,127.0299149
520,상왕십리역 4번 출구 앞,37.56385803,127.0303192
521,왕십리역 11번 출구 앞,37.56144714,127.0349197
522,금호역 1번출구 앞,37.5486412,127.0164261
523,옥수동성당 옆,37.54366302,127.014061
524,래미안금호하이리버 아파트 102동 옆,37.55220032,127.0250549
525,한양대병원사거리,37.55805206,127.0403519
526,용답토속공원 앞,37.56351089,127.0567246
529,장한평역 8번 출구 앞,37.56137085,127.0636597
530,청계벽산아파트 앞,37.56874847,127.0304031
533,금남시장 교차로,37.54814911,127.0210877
534,금호사거리,37.54863358,127.0257263
535,응봉삼거리,37.5539856,127.0335922
536,행당역 2번출구 앞,37.55735016,127.029213
537,한양대후문역 부근,37.56035614,127.0413971
